rowid,epicid,tce_planet_num,tce_period,tce_time0bk,tce_duration,training_label,campaign,tce_depth,tce_impact
107,201184539,1,35.0229576,1990.555398,2.246216583, J,1,0.105333034,0.240231948
108,201184699,1,32.15543693,1986.586698,2.336222267, J,1,0.101244422,0.355457351
109,201185204,1,38.98189575,1986.62501,3.028304636, J,1,0.447413222,1.3859483
110,201185628,1,40.02141106,1977.395028,6.013819913, J,1,0.163186064,0.932854804
111,201185897,1,32.15792778,1986.585612,2.358367883, J,1,0.368145027,1.202893329
112,201186781,1,29.62907847,2000.448255,2.58698158, J,1,0.467269163,0.000572924
113,201186787,1,34.69249065,1981.522942,2.592414204, J,1,0.273328867,0.687639421
114,201186910,1,9.631399822,1977.425,5.502629727, J,1,0.042448863,0.915605869
115,201187490,1,29.90946342,2000.928747,1.967048321, J,1,0.108354726,0.01
116,201187814,1,40.0322375,1977.406224,8.266082077, J,1,0.253952085,1.136751536
117,201187840,1,13.98303007,1990.748305,2.499673263, J,1,0.045505891,0.155726137
118,201188196,1,29.19136542,1986.589458,3.24593293, J,1,0.211844678,0.707776741
119,201189827,1,13.99159821,1990.735831,1.550690332, J,1,0.051941553,0.002565471
120,201189859,1,35.03383936,1990.538033,2.277556574, J,1,0.06069961,0.258384316
121,201189985,1,32.15280461,1986.611139,1.812070698, J,1,0.189214763,1.098248661
122,201190037,1,40.01656425,1977.415095,6.081073043, J,1,0.117568775,0.860023233
123,201190754,1,34.68728551,1981.53129,2.127146498, J,1,0.076690199,0.534040149
124,201191068,1,26.78546881,1991.930988,1.733809907, J,1,0.071781589,0.229226756
125,201191250,1,40.01743838,1977.409751,8.173294735, J,1,0.192424607,0.916709117
126,201191433,1,40.03023889,1977.41006,8.019173894, J,1,0.217939844,1.099784311
127,201191470,1,35.2667663,1990.316388,1.674569294, J,1,0.06855649,0.578062061
128,201192079,1,35.03374993,1990.546747,2.304306036, J,1,0.030967416,0.571250969
129,201193175,1,32.15569033,1986.587695,2.121973234, J,1,0.129380235,0.023422052
130,201193490,1,7.851944424,1978.472589,1.204617229, J,1,0.045564349,0.487102069
131,201194206,1,32.12566029,1986.608797,2.162601022, J,1,0.107092251,0.037484822
132,201195204,1,35.26783192,1990.314898,1.686007185, J,1,0.075926329,0.55473859
133,201195383,1,35.32563563,1990.238727,2.106431802, J,1,0.051444006,0.866194121
134,201195647,1,23.5213679,1984.854178,19.21416061, J,1,0.028508905,0.495095225
135,201197348,1,14.90996578,1992.114529,2.4725106, C,1,0.045683191,0.300435195
136,201197411,1,22.06761068,1996.676582,1.993754724, J,1,0.43992132,1.256149685
137,201197767,1,28.02859116,1977.390673,1.903175028, J,1,0.165425586,0.227484819
138,201197804,1,34.68424258,1981.541238,2.635123386, J,1,0.431884027,1.181793894
139,201197934,1,7.843944669,1978.526198,1.365943795, J,1,0.079822873,0.000500437
140,201198340,1,40.01653253,1977.430783,6.486896806, J,1,0.113634752,0.804998021
141,201199552,1,22.09327199,1996.615357,1.598822792, J,1,0.043075422,0.648664699
142,201199862,1,34.68648393,1981.540711,2.520840034, J,1,0.277231466,1.037553972
143,201200222,1,22.0547011,1996.687632,1.772337079, J,1,0.108292035,0.040335261
144,201202614,1,40.01688947,1977.414605,5.514727228, J,1,0.072722451,0.527227661
145,201204001,1,40.03021805,1977.402179,7.094328881, J,1,0.232502527,1.032031872
146,201204133,1,35.32674707,1990.271305,3.784269308, J,1,0.056500423,0.817640538
147,201204268,1,0.804112281,1977.264513,4.135173442, J,1,0.044115761,0.001571291
148,201205469,1,3.471278471,1980.352932,2.0632266, C,1,0.07092808,0.496534463
149,201205589,1,39.02824274,1986.568919,2.6186194, J,1,0.17458346,0.001746424
150,201205648,1,22.40223859,1996.318234,1.779432616, J,1,0.164897076,0.00050007
151,201205683,1,0.288982052,1977.339987,0.56027116, E,1,0.094170255,0.352339362
152,201206370,1,29.93294992,1986.575582,1.958133033, J,1,0.130530506,0.005645992
153,201206449,1,36.31234314,2006.490906,3.108657511, J,1,0.45456397,0.008499683
154,201206496,1,34.68637885,1981.539255,3.079968373, J,1,0.093540704,1.01535214
155,201207683,1,28.74209336,2002.316738,5.826314732, J,1,0.418635246,0.497236828
156,201208431,1,10.00361541,1982.523064,2.7031946, C,1,0.035137719,0.114240492
157,201209256,1,22.17238649,1994.985451,1.454593627, J,1,0.251798867,0.042060461
158,201209715,1,39.02833567,1986.56707,2.290236315, J,1,0.055952311,0.422571998
159,201209802,1,38.36582241,1978.50893,2.103531274, J,1,0.100549153,0.0005
160,201210207,1,29.69791254,1986.592242,2.692273233, J,1,0.778851836,0.020479482
161,201210424,1,29.35227016,1986.566109,2.267176973, J,1,0.030734653,0.587843413
162,201210448,1,28.23471849,1990.503319,2.367197396, J,1,0.047418749,0.005596806
163,201211635,1,34.68806811,1981.528462,2.165165662, J,1,0.06860406,0.42203262
164,201211646,1,34.6866231,1981.539217,2.692169223, J,1,0.083644752,0.942631876
165,201213056,1,2.514187252,1977.648702,13.46818597, J,1,0.109707747,1.035816237
166,201216877,1,35.2560865,1990.312334,2.335986579, J,1,0.1044182,0.943381744
167,201218713,1,28.74214682,2002.157097,1.71468654, J,1,0.21018712,0.487938352
168,201219206,1,40.01671183,1977.420977,5.538522626, J,1,0.033654456,0.227511732
169,201219907,1,28.40586678,1977.368806,1.151473169, J,1,0.134356215,0.60950472
170,201222171,1,30.9174567,1986.60298,1.326435251, J,1,0.156962129,0.377694338
171,201222222,1,30.67394987,1996.658178,2.110136609, J,1,0.047194304,0.001763193
172,201222515,1,29.3978285,2004.795928,1.648941901, J,1,0.087649282,0.577861725
173,201222543,1,38.99446702,1986.599473,1.770370848, J,1,0.087793596,0.451982211
